Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,9,5,2022,8,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,406706,412187,416456,420087,423025,425593,427914,430297,432604,435095,437699,440003,442966,445848,448706,453186,457352,463569,471503
LSHTM,9,5,2022,9,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,421203,427276,431728,435320,438571,440887,443421,445757,448165,450712,453182,455803,459036,461585,464711,469320,473529,479945,487987
LSHTM,9,5,2022,10,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,434919,441202,445967,449504,452639,454944,457419,460155,462524,465238,467991,470552,473319,476057,479900,483955,489067,494865,502970
LSHTM,9,5,2022,11,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,447796,453886,458710,462487,465416,467824,470189,473187,475515,478146,481091,483649,486386,489502,493481,497271,502352,508303,517067
LSHTM,9,5,2022,12,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,458780,465165,470033,473631,476764,479069,481724,484568,487063,489736,492732,495319,498130,501280,505110,508861,514510,520175,528295
LSHTM,9,5,2022,13,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,467671,474616,479581,483237,486454,488959,491447,494215,496859,499582,502466,505230,508279,511567,515300,518571,524582,530383,537834
LSHTM,9,5,2022,14,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,474800,482258,487618,491353,494382,497018,499260,502126,504558,507568,510501,513324,516570,519759,523232,526809,532462,538539,545883
LSHTM,9,5,2022,15,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,480627,488103,493355,497350,500440,503261,505478,508352,510454,513927,516674,519716,522600,525867,529482,533062,538423,544441,552236
LSHTM,9,5,2022,16,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,485289,492313,497704,501583,504404,507402,509814,512255,514806,517856,521090,523961,526606,530128,533396,537375,542393,547713,556852
LSHTM,9,5,2022,17,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,487204,494449,500048,503640,506846,509507,512092,514419,516695,519780,523145,525932,529205,531975,535177,539330,544085,549312,558300
LSHTM,9,5,2022,18,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,487505,494705,500032,503915,506954,509747,512308,514787,517132,519814,522877,525924,529052,532123,534875,539246,543712,549222,558218
LSHTM,9,5,2022,19,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,486219,493520,498094,501935,505251,507987,510790,512913,515219,517748,520910,523897,527059,530192,533206,537440,541487,546669,556160
LSHTM,9,5,2022,20,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,483481,489781,494782,498564,501762,504491,507215,509361,511555,514211,517052,519982,523072,526033,529225,532821,537271,542748,551490
LSHTM,9,5,2022,21,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,479210,484859,489718,493216,496651,499619,501839,504160,506375,508657,511418,514538,517291,520521,523607,527072,531631,536907,545886
LSHTM,9,5,2022,22,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,472500,478539,483170,486795,490164,492882,495217,497587,499608,502231,504652,507195,510169,513319,516329,519677,523966,529678,538612
LSHTM,9,5,2022,23,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,464887,471453,475544,479256,482233,484967,487004,489838,492030,494293,496302,499048,501980,504872,508344,511606,515687,520869,529957
LSHTM,9,5,2022,24,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,456775,463485,467303,470449,473353,476208,478387,480886,483377,485303,487418,490098,492902,495845,499274,502330,506546,511616,520610
LSHTM,9,5,2022,25,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,447444,454708,458138,461195,464017,466728,469324,471625,473917,475917,477992,480547,483158,485885,489532,492918,496353,501439,510516
LSHTM,9,5,2022,26,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,438488,444930,448830,451548,454726,457216,459608,461650,463865,466189,468524,470817,473209,476421,479682,482773,486203,491020,499731
LSHTM,9,5,2022,27,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,428950,434944,439221,442171,444931,447541,449755,451837,453992,456483,458634,460947,463173,466281,469430,472723,476105,479971,488714
LSHTM,9,5,2022,28,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,420036,425444,429515,432451,435323,437662,439833,442068,444184,446505,448725,451018,453324,456363,459118,462677,465589,470062,477743
LSHTM,9,5,2022,29,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,410747,415961,419974,423170,425859,427997,430264,432476,434339,436709,438828,441120,443555,446178,449305,452540,455655,459723,467034
LSHTM,9,5,2022,30,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,401430,406384,410701,413797,416328,418493,420745,422825,424839,426965,429167,431319,433821,436611,439538,442290,445359,449339,456537
LSHTM,9,5,2022,31,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,392109,397264,401501,404367,406801,409066,411052,413385,415260,417131,419092,421520,423794,426602,429581,432147,435170,438691,445831
LSHTM,9,5,2022,1,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,383128,388061,391967,394947,397193,399230,401421,403321,405348,407187,409294,411440,413739,416294,419494,421981,424405,428376,435098
LSHTM,9,5,2022,2,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,373491,378463,381975,385091,387361,389073,391170,393255,395035,396972,399077,400992,403286,405949,408728,411125,413479,417470,423641
LSHTM,9,5,2022,3,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,363366,368139,371907,374599,376590,378533,380421,382586,384344,386099,388128,390152,391918,394651,397377,399632,402154,406000,412061
LSHTM,9,5,2022,4,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,351995,357436,361099,363432,365242,367312,369007,370964,372711,374627,376374,378259,380315,382517,384873,387485,390109,393813,399509
LSHTM,9,5,2022,5,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,339814,345531,348921,351398,353286,354831,356622,358604,360240,361931,364033,365579,367612,369408,371990,374332,377358,380805,385794
LSHTM,9,5,2022,6,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,327319,332977,336017,338259,340024,341771,343417,345140,347084,348663,350207,351685,353561,355880,358111,360369,363240,366788,371365
LSHTM,9,5,2022,7,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,313933,318729,322092,324213,325873,327594,329169,330856,332684,334176,335461,337074,338932,340898,343317,345534,348429,351647,356336
LSHTM,9,5,2022,8,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,300128,304333,307456,309290,310910,312734,313973,315884,317222,318716,320137,321660,323374,325514,327647,329957,332462,335741,339972
LSHTM,9,5,2022,9,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,284794,289118,291553,293789,295378,297061,298458,299826,301467,302728,304291,305625,307457,309387,311130,313659,316148,318685,323333
LSHTM,9,5,2022,10,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,268986,273406,275670,277857,279553,280784,282287,283769,285208,286403,287682,289283,291075,292550,294460,296706,299179,301710,306128
LSHTM,9,5,2022,11,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,253346,257604,259887,261948,263454,264815,266246,267585,268836,270096,271311,272919,274463,275812,277748,279718,281827,284574,288579
LSHTM,9,5,2022,12,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,237883,241710,244218,246267,247736,248884,250314,251654,252804,254098,255195,256543,258120,259456,261018,262864,264936,267488,271593
LSHTM,9,5,2022,13,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,222875,226443,228848,230868,232613,233852,234933,236218,237273,238616,239706,240800,242213,243555,245055,246785,248669,251094,255237
LSHTM,9,5,2022,14,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,208321,211898,214199,216180,217921,219397,220356,221456,222554,223620,224856,226049,227237,228569,229945,231823,233550,236064,239927
LSHTM,9,5,2022,15,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,194428,198028,200265,202082,203786,205172,206409,207633,208797,209880,211244,212402,213463,214763,216274,218272,220027,222411,226227
LSHTM,9,5,2022,16,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,180879,184935,187018,188900,190553,192028,193612,194757,195990,197165,198518,199762,201355,202747,204402,206150,208248,210712,214537
LSHTM,9,5,2022,17,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,168148,171866,174389,176633,178429,180029,181563,183098,184257,185844,187321,188685,190417,191918,193675,195853,198235,200654,205573
LSHTM,9,5,2022,18,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,155374,159458,162669,165134,167329,169274,170885,172556,174021,175546,177246,179099,180996,182624,184550,186989,189970,193187,198432
LSHTM,9,5,2022,19,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,143574,148428,151792,154586,157081,159126,161104,163094,165020,166760,168541,170663,172611,174820,177265,179880,183529,187889,193654
LSHTM,9,5,2022,20,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,132086,137849,141854,145187,147918,150038,152285,154444,156990,159201,161477,163519,165927,168718,171388,174507,178700,183658,190052
LSHTM,9,5,2022,21,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,121978,127731,132936,136642,139216,142008,144670,147197,150011,152308,155460,157603,160530,163757,166983,171037,175164,181085,189380
LSHTM,9,5,2022,22,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,112906,119430,124482,128618,131869,134884,137832,140933,144538,147011,149703,153232,156146,159798,163954,167834,172480,180420,189334
LSHTM,9,5,2022,23,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,104142,111402,116953,121435,125177,128660,131871,135465,139108,142517,145831,149587,153086,157381,161272,166780,171499,180333,191711
LSHTM,9,5,2022,26,2,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.112359,1.118592,1.1221969999999999,1.125354,1.12795,1.130311,1.1330295,1.135284,1.137271,1.13945,1.1414635,1.144074,1.1465,1.149009,1.1518025,1.154456,1.157869,1.163211,1.170764
LSHTM,9,5,2022,27,2,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.125735,1.133145,1.1370185,1.140638,1.1437375,1.146539,1.1487195,1.15151,1.1536555,1.156075,1.1589845,1.161264,1.1637135,1.166576,1.1697875,1.172982,1.1764815,1.181926,1.191441
LSHTM,9,5,2022,28,2,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1372095,1.145325,1.14992,1.154156,1.15751,1.16034,1.16292,1.16546,1.168151,1.17052,1.17286,1.175614,1.1784735,1.181633,1.1850825,1.188714,1.1933115,1.19882,1.2081495
LSHTM,9,5,2022,1,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1453665,1.154667,1.1601025,1.1643,1.1679,1.171608,1.17439,1.176942,1.17955,1.182075,1.184379,1.186832,1.19027,1.19376,1.19712,1.201518,1.2065625,1.212568,1.2221425
LSHTM,9,5,2022,2,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1503785,1.161227,1.1663785,1.170678,1.1756575,1.179507,1.1825565,1.185194,1.1874875,1.190165,1.1927245,1.195688,1.198787,1.201853,1.2057025,1.210792,1.2150575,1.22241,1.231909
LSHTM,9,5,2022,3,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.15327,1.164543,1.169361,1.174722,1.1792175,1.18333,1.18707,1.1897,1.192285,1.195065,1.198,1.200834,1.2038135,1.206736,1.2109025,1.215884,1.220872,1.228491,1.239113
LSHTM,9,5,2022,4,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1532755,1.16461,1.16945,1.174858,1.179965,1.184274,1.1878795,1.19094,1.193931,1.19677,1.199729,1.202574,1.2051435,1.208428,1.2123125,1.217774,1.222796,1.230521,1.2421425
LSHTM,9,5,2022,5,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1499685,1.16119,1.1667625,1.172308,1.1776375,1.181631,1.1851365,1.18837,1.1922755,1.195265,1.197517,1.2004,1.2039135,1.206523,1.2108125,1.215638,1.220732,1.22876,1.2399235
LSHTM,9,5,2022,6,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1446165,1.155088,1.161684,1.167214,1.1725225,1.176528,1.1796665,1.183194,1.18666,1.189995,1.1926945,1.19563,1.1987535,1.20211,1.20572,1.210938,1.2157375,1.222886,1.234628
LSHTM,9,5,2022,7,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1383195,1.147791,1.154785,1.160034,1.16499,1.168661,1.172013,1.175916,1.1788665,1.18234,1.185007,1.188098,1.190707,1.19469,1.19817,1.203298,1.2083015,1.214882,1.226553
LSHTM,9,5,2022,8,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1291214999999999,1.13877,1.1455525,1.150666,1.15504,1.159279,1.162936,1.166314,1.169413,1.172465,1.1751645,1.177754,1.1808575,1.18483,1.18868,1.193714,1.1982845,1.203895,1.2147105
LSHTM,9,5,2022,9,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.118886,1.128276,1.135157,1.139858,1.1437875,1.148184,1.152253,1.155464,1.1582765,1.16104,1.163369,1.16608,1.169365,1.173225,1.1769525,1.181556,1.1859315,1.192028,1.201311
LSHTM,9,5,2022,10,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.1084065,1.117018,1.1238855,1.128124,1.132215,1.135955,1.1399365,1.143326,1.1456865,1.14837,1.150638,1.153558,1.1565305,1.159953,1.1638,1.16822,1.172526,1.178536,1.187999
LSHTM,9,5,2022,11,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.097304,1.105217,1.111077,1.11595,1.11972,1.1234,1.1268965,1.12978,1.1322375,1.134815,1.1375945,1.140294,1.1427275,1.145683,1.1493025,1.15355,1.1582045,1.163084,1.172453
LSHTM,9,5,2022,12,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.0853865,1.092965,1.0982755,1.10368,1.1069025,1.110449,1.1131165,1.11552,1.1182275,1.12108,1.124039,1.1262,1.128701,1.131478,1.134605,1.138232,1.1426415,1.147806,1.1560015
LSHTM,9,5,2022,13,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.0734285,1.080557,1.0852485,1.090182,1.0936,1.096474,1.0990165,1.101722,1.104066,1.10662,1.109349,1.111708,1.11437,1.11702,1.11949,1.122554,1.1266435,1.13188,1.1379705
LSHTM,9,5,2022,14,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.0617725,1.068147,1.07239,1.07651,1.07976,1.082615,1.085363,1.087866,1.09013,1.09198,1.09445,1.097016,1.099181,1.10154,1.10418,1.106892,1.11032,1.115012,1.1202905
LSHTM,9,5,2022,15,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.049889,1.055854,1.0595855,1.063036,1.0659275,1.068434,1.07115,1.0737,1.0757855,1.077935,1.07976,1.08158,1.08407,1.086086,1.08875,1.091372,1.093796,1.097681,1.104306
LSHTM,9,5,2022,16,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.037747,1.043067,1.046757,1.049536,1.0521825,1.054741,1.0571755,1.059252,1.0611755,1.063095,1.0648745,1.06658,1.0687835,1.070733,1.0727525,1.074924,1.0775545,1.08124,1.087164
LSHTM,9,5,2022,17,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.025886,1.03064,1.0338255,1.03634,1.0388075,1.041054,1.0430965,1.045006,1.04635,1.048065,1.049717,1.05155,1.0534435,1.055086,1.05714,1.059112,1.0614730000000001,1.065046,1.0701805
LSHTM,9,5,2022,18,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.01412,1.018344,1.0209935,1.023076,1.0253575,1.02716,1.0289065,1.030444,1.032,1.033515,1.0348835,1.036654,1.0383175,1.03977,1.041685,1.043654,1.046033,1.049021,1.0533805
LSHTM,9,5,2022,19,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,1.0013645,1.005486,1.0080185,1.01029,1.01159,1.013317,1.015,1.016386,1.01786,1.018985,1.0206645,1.022022,1.0234735,1.024986,1.0267075,1.028562,1.0306145,1.033134,1.03648
LSHTM,9,5,2022,20,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.98963205,0.9928155,0.99516995,0.9972138,0.9986455,1.00004,1.00136,1.002712,1.00413,1.00543,1.0066945,1.007894,1.0091335,1.010576,1.0122425,1.01392,1.0158475,1.017781,1.0204605
LSHTM,9,5,2022,21,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.97738725,0.9805928,0.9826552,0.9845886,0.98594175,0.987288,0.9885336,0.9896692,0.990807,0.9918175,0.9931439,0.9943762,0.9955896,0.9970111,0.99832275,0.9997466,1.0013545,1.003302,1.006065
LSHTM,9,5,2022,22,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.9657686,0.9686885,0.9709614,0.9724086,0.9737545,0.9751743,0.9762476,0.9773184,0.97830095,0.979464,0.9806608,0.9817124,0.9829674,0.9841524,0.9853925,0.986639,0.98794145,0.9897588,0.9924254
LSHTM,9,5,2022,23,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.95443135,0.9575126,0.95973445,0.9612616,0.9625365,0.9637984,0.96481525,0.9658326,0.96699735,0.967918,0.9690824,0.9701074,0.97133315,0.9722236,0.973421,0.9748376,0.9761123,0.9778136,0.9805715
LSHTM,9,5,2022,24,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.9441452,0.9471636,0.94925715,0.9508202,0.95244925,0.9537086,0.95483565,0.955833,0.95681445,0.9577535,0.9587026,0.9595952,0.96086605,0.9619446,0.962945,0.9640906,0.9656679,0.9676949,0.97013015
LSHTM,9,5,2022,25,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.93466965,0.9378863,0.9397754,0.9415964,0.943288,0.944558,0.94580565,0.9469612,0.94799065,0.948975,0.94988485,0.9508902,0.9518407,0.9531007,0.954174,0.955453,0.9569669,0.9589228,0.9614481
LSHTM,9,5,2022,26,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.9255474,0.9296619,0.9319829,0.9337816,0.93528575,0.9367474,0.938161,0.9392168,0.9402254,0.9413025,0.9424278,0.9435174,0.94453465,0.9457551,0.9468745,0.9482906,0.9498899,0.9516582,0.954309
LSHTM,9,5,2022,27,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.9187154,0.9225411,0.92499885,0.9270888,0.9288595,0.9304394,0.93164245,0.9329384,0.93389455,0.9352395,0.9363625,0.9374074,0.93851725,0.9395873,0.94110775,0.942494,0.9440818,0.9460917,0.94896415
LSHTM,9,5,2022,28,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.9135689,0.9172035,0.91949185,0.9215834,0.92350125,0.9250147,0.9266584,0.9278792,0.92896485,0.93026,0.93129625,0.9325342,0.93373575,0.9349248,0.93614475,0.9379502,0.9395814,0.9420441,0.94541725
LSHTM,9,5,2022,29,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.90883735,0.9126013,0.91515405,0.9172122,0.9191385,0.9208852,0.92247155,0.9236586,0.9249543,0.926308,0.9274578,0.9286114,0.9299728,0.9312341,0.932667,0.9344386,0.93611975,0.9387806,0.94261835
LSHTM,9,5,2022,30,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.90507675,0.9089625,0.9116571,0.9138286,0.91578475,0.9174362,0.9188631,0.920267,0.92181655,0.923047,0.9242158,0.9254616,0.9269448,0.9283376,0.92967275,0.9314038,0.93355955,0.9363917,0.94074035
LSHTM,9,5,2022,31,3,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.90170905,0.9056071,0.9085175,0.9105762,0.91249,0.9141814,0.91570795,0.9172306,0.91873315,0.920086,0.92130555,0.9227342,0.92408905,0.9254311,0.92710125,0.9290606,0.93145735,0.9346683,0.93869495
LSHTM,9,5,2022,1,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.89827505,0.9026968,0.9050534,0.907265,0.908879,0.9108761,0.91261935,0.91407,0.9156524,0.9170295,0.91842305,0.9196988,0.9211736,0.922661,0.92441025,0.9265786,0.92916735,0.9325892,0.9368815
LSHTM,9,5,2022,2,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.89378765,0.8982506,0.90101685,0.9035346,0.905231,0.9069739,0.9087595,0.9104058,0.91191785,0.9133315,0.91492865,0.916387,0.91781305,0.9194129,0.9212535,0.9233632,0.92627965,0.9291151,0.93437185
LSHTM,9,5,2022,3,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.8886229,0.8927592,0.8958745,0.8984354,0.90056775,0.9022852,0.903997,0.9055684,0.90717355,0.908733,0.9101984,0.9118154,0.9136136,0.9152973,0.917236,0.919274,0.92188285,0.9252087,0.930634
LSHTM,9,5,2022,4,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.88089785,0.8859282,0.88958185,0.8922226,0.8942785,0.8961442,0.8978453,0.8992712,0.90100915,0.9026465,0.90430875,0.9060532,0.9078684,0.9096212,0.911836,0.913957,0.91651395,0.9197433,0.9246477
LSHTM,9,5,2022,5,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.87255565,0.8775846,0.88124475,0.884219,0.88624975,0.888372,0.8900158,0.891966,0.89344655,0.8949865,0.8966779,0.8984732,0.90047175,0.9026154,0.90458825,0.9070372,0.90964155,0.9128911,0.91833085
LSHTM,9,5,2022,6,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.86247745,0.8673455,0.8714309,0.8744442,0.876611,0.8790371,0.88092715,0.8823772,0.88403125,0.88575,0.88755085,0.8895152,0.8913691,0.8935391,0.8961225,0.8982656,0.90122885,0.9045756,0.90974815
LSHTM,9,5,2022,7,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.8502755,0.8558575,0.86018955,0.8633596,0.8654225,0.8675561,0.8691913,0.8711636,0.87328165,0.87545,0.87715975,0.8790252,0.88120175,0.8832805,0.88538875,0.8881264,0.8910699,0.8946958,0.9001494
LSHTM,9,5,2022,8,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.8369997,0.8428244,0.8472623,0.8503038,0.852643,0.8548407,0.85716505,0.8591798,0.86148675,0.8634795,0.86539405,0.8674558,0.86952535,0.871606,0.87405825,0.8766566,0.87968905,0.8837458,0.8895394
LSHTM,9,5,2022,9,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.82304105,0.8290582,0.83306815,0.8366846,0.839452,0.8418988,0.84411205,0.8465156,0.84863915,0.850749,0.85281425,0.8546024,0.8567127,0.8593647,0.86190375,0.8645986,0.86783345,0.8723284,0.878314
LSHTM,9,5,2022,10,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.80742645,0.8147702,0.81918035,0.822817,0.8260295,0.8288138,0.830914,0.8329604,0.8352282,0.8376275,0.8394104,0.8416514,0.84424535,0.8464668,0.84956975,0.8524942,0.8562144,0.86051010000000006,0.8673195
LSHTM,9,5,2022,11,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.79219055,0.8011398,0.80562685,0.8095384,0.81245425,0.8152005,0.8174868,0.8195214,0.82227325,0.8245915,0.82702265,0.8294644,0.83197715,0.8345776,0.83718425,0.8405682,0.844992,0.8493667,0.8568362
LSHTM,9,5,2022,12,4,2022,England,R,EpiNow ONS Positivity,Nowcast,Survey,0.1,0.7789507,0.7867936,0.7925507,0.7965104,0.79963075,0.8028656,0.8051656,0.8078658,0.8100587,0.8128505,0.815193,0.81775,0.8205549,0.8235087,0.8266505,0.8302054,0.83440615,0.8400934,0.84763075
